"";"Order";"PID";"MS.SubClass";"MS.Zoning";"Lot.Frontage";"Lot.Area";"Street";"Alley";"Lot.Shape";"Land.Contour";"Utilities";"Lot.Config";"Land.Slope";"Neighborhood";"Condition.1";"Condition.2";"Bldg.Type";"House.Style";"Overall.Qual";"Overall.Cond";"Year.Built";"Year.Remod.Add";"Roof.Style";"Roof.Matl";"Exterior.1st";"Exterior.2nd";"Mas.Vnr.Type";"Mas.Vnr.Area";"Exter.Qual";"Exter.Cond";"Foundation";"Bsmt.Qual";"Bsmt.Cond";"Bsmt.Exposure";"BsmtFin.Type.1";"BsmtFin.SF.1";"BsmtFin.Type.2";"BsmtFin.SF.2";"Bsmt.Unf.SF";"Total.Bsmt.SF";"Heating";"Heating.QC";"Central.Air";"Electrical";"X1st.Flr.SF";"X2nd.Flr.SF";"Low.Qual.Fin.SF";"Gr.Liv.Area";"Bsmt.Full.Bath";"Bsmt.Half.Bath";"Full.Bath";"Half.Bath";"Bedroom.AbvGr";"Kitchen.AbvGr";"Kitchen.Qual";"TotRms.AbvGrd";"Functional";"Fireplaces";"Fireplace.Qu";"Garage.Type";"Garage.Yr.Blt";"Garage.Finish";"Garage.Cars";"Garage.Area";"Garage.Qual";"Garage.Cond";"Paved.Drive";"Wood.Deck.SF";"Open.Porch.SF";"Enclosed.Porch";"X3Ssn.Porch";"Screen.Porch";"Pool.Area";"Pool.QC";"Fence";"Misc.Feature";"Misc.Val";"Mo.Sold";"Yr.Sold";"Sale.Type";"Sale.Condition";"SalePrice"
"268";268;907290040;20;"RL";48;12137;"Pave";"NA";"IR2";"Lvl";"AllPub";"CulDSac";"Gtl";"CollgCr";"Norm";"Norm";"1Fam";"1Story";7;5;1998;1998;"Gable";"CompShg";"VinylSd";"VinylSd";"BrkFace";442;"TA";"TA";"PConc";"Gd";"TA";"No";"Unf";0;"Unf";0;1649;1649;"GasA";"Ex";"Y";"SBrkr";1661;0;0;1661;0;0;2;0;3;1;"Gd";6;"Typ";0;"NA";"Attchd";1998;"RFn";2;598;"TA";"TA";"Y";0;34;0;0;0;0;"NA";"NA";"NA";0;5;2010;"WD ";"Normal";224900
"2887";2887;914452060;90;"RL";65;8385;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Mitchel";"Norm";"Norm";"Duplex";"1Story";6;5;1978;1978;"Gable";"CompShg";"Plywood";"Plywood";"None";0;"TA";"TA";"CBlock";"TA";"TA";"Mn";"Unf";0;"Unf";0;1664;1664;"GasA";"TA";"Y";"SBrkr";1664;0;0;1664;0;0;2;0;4;2;"TA";10;"Typ";0;"NA";"2Types";1978;"Unf";2;616;"TA";"TA";"Y";0;0;0;0;0;0;"NA";"NA";"NA";0;10;2006;"WD ";"Normal";145000
"2553";2553;534430110;20;"RL";NA;11425;"Pave";"NA";"IR1";"Lvl";"AllPub";"Corner";"Gtl";"NAmes";"Norm";"Norm";"1Fam";"1Story";5;6;1954;1954;"Gable";"CompShg";"BrkFace";"BrkFace";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"BLQ";486;"Unf";0;522;1008;"GasA";"Gd";"Y";"SBrkr";1008;0;0;1008;0;0;1;0;2;1;"TA";4;"Typ";1;"Gd";"Attchd";1954;"RFn";1;275;"TA";"TA";"Y";0;0;120;0;0;0;"NA";"NA";"NA";0;7;2006;"WD ";"Normal";137000
"159";159;535377090;90;"RL";64;6979;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"OldTown";"Norm";"Norm";"Duplex";"SFoyer";6;5;1980;1980;"Gable";"CompShg";"Plywood";"Plywood";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"GLQ";1056;"Unf";0;0;1056;"GasA";"Gd";"Y";"SBrkr";1056;0;0;1056;2;0;0;0;0;2;"TA";4;"Typ";0;"NA";"Detchd";1980;"Unf";2;576;"TA";"TA";"Y";264;56;0;0;0;0;"NA";"GdPrv";"Shed";600;6;2010;"WD ";"Normal";144000
"647";647;535351050;20;"RL";75;14559;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"NAmes";"Norm";"Norm";"1Fam";"1Story";5;7;1951;2000;"Hip";"CompShg";"Wd Sdng";"Wd Sdng";"BrkCmn";70;"Gd";"TA";"CBlock";"TA";"TA";"No";"BLQ";650;"Rec";180;178;1008;"GasA";"Ex";"Y";"SBrkr";1363;0;0;1363;1;0;1;0;2;1;"TA";6;"Min1";2;"TA";"CarPort";1951;"Unf";1;288;"TA";"TA";"Y";324;42;0;0;168;0;"NA";"NA";"Shed";2000;6;2009;"WD ";"Normal";164900
"888";888;908128060;85;"RL";64;7301;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"Edwards";"Norm";"Norm";"1Fam";"SFoyer";7;5;2003;2003;"Gable";"CompShg";"HdBoard";"HdBoard";"BrkFace";500;"Gd";"TA";"Slab";"NA";"NA";"NA";"NA";0;"NA";0;0;0;"GasA";"Ex";"Y";"SBrkr";495;1427;0;1922;0;0;3;0;4;1;"Gd";7;"Typ";1;"Ex";"BuiltIn";2003;"RFn";2;672;"TA";"TA";"Y";0;0;177;0;0;0;"NA";"NA";"NA";0;7;2009;"ConLD";"Normal";198500
"2897";2897;916403020;20;"RL";50;8049;"Pave";"NA";"IR1";"Lvl";"AllPub";"CulDSac";"Gtl";"Timber";"Norm";"Norm";"1Fam";"1Story";7;5;1990;1990;"Hip";"CompShg";"HdBoard";"HdBoard";"BrkFace";54;"TA";"TA";"CBlock";"Gd";"TA";"No";"ALQ";1053;"Unf";0;256;1309;"GasA";"TA";"Y";"SBrkr";1339;0;0;1339;1;0;2;0;2;1;"TA";6;"Typ";1;"TA";"Attchd";1990;"Fin";2;484;"Gd";"Gd";"Y";0;58;0;0;90;0;"NA";"NA";"NA";0;7;2006;"WD ";"Normal";180000
"2604";2604;535381060;50;"RL";60;10410;"Pave";"Grvl";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"OldTown";"Artery";"Norm";"1Fam";"1.5Fin";3;4;1915;1950;"Gable";"CompShg";"Wd Sdng";"Wd Sdng";"None";0;"TA";"TA";"PConc";"TA";"TA";"No";"Unf";0;"Unf";0;672;672;"GasA";"TA";"Y";"SBrkr";694;520;0;1214;0;0;1;0;3;1;"TA";6;"Typ";0;"NA";"Detchd";1998;"Unf";3;936;"TA";"TA";"Y";216;0;160;0;0;0;"NA";"MnPrv";"NA";0;1;2006;"WD ";"Family";105000
"1306";1306;902207120;20;"RM";103;12205;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"OldTown";"Norm";"Norm";"1Fam";"1Story";3;1;1949;1992;"Gable";"CompShg";"MetalSd";"MetalSd";"None";0;"TA";"TA";"BrkTil";"Fa";"Fa";"No";"Unf";0;"Unf";0;448;448;"GasA";"Gd";"Y";"SBrkr";1588;0;0;1588;0;0;2;0;5;1;"TA";6;"Maj2";0;"NA";"NA";NA;"NA";0;0;"NA";"NA";"N";0;0;0;0;0;0;"NA";"MnPrv";"NA";0;12;2008;"WD ";"Abnorml";65000
"1061";1061;528120130;60;"RL";102;12151;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"NridgHt";"Norm";"Norm";"1Fam";"2Story";9;5;2005;2005;"Gable";"CompShg";"CemntBd";"CmentBd";"BrkFace";368;"Gd";"TA";"PConc";"Ex";"TA";"Av";"GLQ";1249;"Unf";0;165;1414;"GasA";"Ex";"Y";"SBrkr";1414;917;0;2331;1;0;2;1;3;1;"Ex";9;"Typ";1;"Gd";"BuiltIn";2005;"Fin";3;1003;"TA";"TA";"Y";192;63;0;0;0;0;"NA";"NA";"NA";0;8;2008;"WD ";"Normal";379000
"2621";2621;535450180;50;"RL";60;10800;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"NAmes";"Norm";"Norm";"1Fam";"1.5Fin";4;4;1949;1950;"Gable";"CompShg";"AsbShng";"AsbShng";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"Unf";0;"Unf";0;720;720;"GasA";"TA";"N";"FuseA";720;472;0;1192;0;0;1;1;4;1;"TA";6;"Typ";0;"NA";"NA";NA;"NA";0;0;"NA";"NA";"Y";0;0;0;0;0;0;"NA";"NA";"NA";0;12;2006;"WD ";"Abnorml";135000
"709";709;902205010;30;"RM";50;5925;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"OldTown";"Norm";"Norm";"1Fam";"1Story";2;4;1940;1950;"Gable";"CompShg";"MetalSd";"MetalSd";"None";0;"TA";"Gd";"BrkTil";"NA";"NA";"NA";"NA";0;"NA";0;0;0;"GasA";"Fa";"N";"FuseA";612;0;0;612;0;0;1;0;1;1;"TA";4;"Typ";0;"NA";"Detchd";1965;"Unf";1;308;"TA";"Fa";"N";0;0;25;0;0;0;"NA";"NA";"NA";0;10;2009;"WD ";"Normal";45000
"490";490;528290190;80;"RL";62;7750;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Gilbert";"Norm";"Norm";"1Fam";"SLvl";7;5;1999;2000;"Gable";"CompShg";"VinylSd";"VinylSd";"None";0;"TA";"TA";"PConc";"Gd";"TA";"No";"Unf";0;"Unf";0;384;384;"GasA";"Ex";"Y";"SBrkr";774;656;0;1430;0;0;2;1;3;1;"TA";7;"Typ";1;"TA";"BuiltIn";1999;"RFn";2;400;"TA";"TA";"Y";0;0;0;0;0;0;"NA";"NA";"NA";0;3;2009;"WD ";"Normal";156000
"1329";1329;903204010;50;"RM";NA;7425;"Pave";"NA";"IR1";"Bnk";"AllPub";"Corner";"Gtl";"BrkSide";"RRAn";"Artery";"1Fam";"1.5Fin";7;7;1945;1950;"Gable";"CompShg";"Wd Sdng";"Wd Sdng";"None";0;"TA";"TA";"CBlock";"TA";"Fa";"No";"Unf";0;"Unf";0;672;672;"GasA";"Gd";"Y";"SBrkr";1195;473;0;1668;0;0;1;1;3;1;"Gd";8;"Typ";0;"NA";"Attchd";1945;"Unf";1;252;"TA";"TA";"Y";210;0;0;0;0;0;"NA";"NA";"NA";0;8;2008;"WD ";"Abnorml";108000
"719";719;902329080;70;"RM";60;3600;"Pave";"Grvl";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"OldTown";"Norm";"Norm";"1Fam";"2Story";6;7;1917;2007;"Gable";"CompShg";"Stucco";"Stucco";"None";0;"TA";"TA";"BrkTil";"TA";"TA";"No";"Unf";0;"Unf";0;624;624;"GasA";"Ex";"Y";"SBrkr";664;624;0;1288;1;0;1;0;3;1;"Ex";5;"Typ";1;"Gd";"Attchd";1917;"Unf";1;280;"TA";"TA";"N";0;103;0;0;0;0;"NA";"NA";"NA";0;5;2009;"WD ";"Normal";119000
"2491";2491;532376080;20;"RL";NA;9308;"Pave";"NA";"IR1";"Lvl";"AllPub";"CulDSac";"Gtl";"Sawyer";"RRNe";"Norm";"1Fam";"1Story";5;5;1965;1965;"Gable";"CompShg";"HdBoard";"HdBoard";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"Rec";554;"Unf";0;430;984;"GasA";"TA";"Y";"SBrkr";984;0;0;984;0;0;1;0;3;1;"TA";5;"Typ";0;"NA";"Attchd";1965;"Unf";1;310;"TA";"TA";"Y";0;0;0;0;0;0;"NA";"MnPrv";"NA";0;7;2006;"WD ";"Normal";126000
"1822";1822;532354070;20;"RL";NA;7758;"Pave";"NA";"IR1";"Lvl";"AllPub";"Corner";"Gtl";"Sawyer";"Norm";"Norm";"1Fam";"1Story";5;7;1962;2001;"Gable";"CompShg";"HdBoard";"Plywood";"None";0;"TA";"Gd";"CBlock";"TA";"TA";"No";"ALQ";588;"Unf";0;411;999;"GasA";"Gd";"Y";"SBrkr";999;0;0;999;1;0;1;0;3;1;"Gd";6;"Typ";0;"NA";"Detchd";1963;"Unf";1;264;"TA";"TA";"Y";0;132;0;0;0;0;"NA";"NA";"NA";0;3;2007;"WD ";"Normal";132500
"964";964;916403200;60;"RL";NA;9839;"Pave";"NA";"IR1";"Lvl";"AllPub";"CulDSac";"Gtl";"Timber";"Norm";"Norm";"1Fam";"2Story";6;8;1980;2006;"Gable";"CompShg";"MetalSd";"MetalSd";"None";0;"TA";"Gd";"PConc";"Gd";"TA";"No";"ALQ";462;"Unf";0;250;712;"GasA";"Ex";"Y";"SBrkr";1375;862;0;2237;0;0;2;1;3;1;"Gd";7;"Typ";1;"TA";"BuiltIn";1980;"Fin";2;440;"TA";"TA";"Y";305;24;0;0;0;0;"NA";"NA";"Shed";2500;2;2009;"WD ";"Normal";204000
"515";515;528456180;60;"FV";72;8640;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Somerst";"Norm";"Norm";"1Fam";"2Story";7;5;2009;2009;"Gable";"CompShg";"VinylSd";"VinylSd";"None";0;"TA";"TA";"PConc";"Gd";"TA";"No";"GLQ";822;"Unf";0;78;900;"GasA";"Ex";"Y";"SBrkr";932;920;0;1852;1;0;2;1;3;1;"Gd";7;"Typ";1;"TA";"Attchd";2009;"RFn";2;644;"TA";"TA";"Y";168;108;0;0;0;0;"NA";"NA";"NA";0;7;2009;"New";"Partial";252678
"434";434;528110090;60;"RL";107;13891;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"NridgHt";"Norm";"Norm";"1Fam";"2Story";9;5;2008;2009;"Hip";"CompShg";"VinylSd";"VinylSd";"Stone";424;"Ex";"TA";"PConc";"Ex";"TA";"Gd";"Unf";0;"Unf";0;1734;1734;"GasA";"Ex";"Y";"SBrkr";1734;1088;0;2822;0;0;3;1;4;1;"Ex";12;"Typ";1;"Gd";"BuiltIn";2009;"RFn";3;1020;"TA";"TA";"Y";52;170;0;0;192;0;"NA";"NA";"NA";0;1;2009;"New";"Partial";582933
"579";579;533352150;20;"RL";NA;9991;"Pave";"NA";"IR1";"Lvl";"AllPub";"Corner";"Gtl";"Sawyer";"Feedr";"Norm";"1Fam";"1Story";4;4;1976;1993;"Gable";"CompShg";"Plywood";"Plywood";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"BLQ";1116;"Unf";0;165;1281;"GasA";"Ex";"Y";"SBrkr";1620;0;0;1620;1;0;2;0;3;1;"TA";8;"Min1";1;"TA";"Attchd";1993;"Unf";2;490;"TA";"TA";"Y";120;78;0;0;0;0;"NA";"GdWo";"NA";0;6;2009;"WD ";"Normal";150000
"540";540;531375040;20;"RL";63;13072;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"SawyerW";"RRAe";"Norm";"1Fam";"1Story";7;5;2004;2005;"Gable";"CompShg";"VinylSd";"VinylSd";"None";0;"Gd";"TA";"PConc";"Gd";"TA";"No";"Unf";0;"Unf";0;1114;1114;"GasA";"Ex";"Y";"SBrkr";1114;0;0;1114;0;0;1;1;3;1;"Gd";6;"Typ";0;"NA";"Detchd";2005;"Unf";2;576;"TA";"TA";"Y";248;102;0;0;0;0;"NA";"NA";"NA";0;5;2009;"WD ";"Normal";159000
"1781";1781;528431040;20;"RL";98;12291;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"Somerst";"Norm";"Norm";"1Fam";"1Story";10;5;2007;2007;"Hip";"CompShg";"CemntBd";"CmentBd";"BrkFace";754;"Ex";"TA";"PConc";"Ex";"TA";"Av";"GLQ";1572;"Unf";0;394;1966;"GasA";"Ex";"Y";"SBrkr";1966;0;0;1966;1;0;2;0;1;1;"Ex";6;"Typ";1;"Gd";"Attchd";2007;"Fin";3;1092;"TA";"TA";"Y";76;52;0;0;0;0;"NA";"NA";"NA";0;10;2007;"New";"Partial";419005
"1231";1231;535105030;20;"RL";75;7875;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"NAmes";"Norm";"Norm";"1Fam";"1Story";5;6;1961;1961;"Gable";"CompShg";"VinylSd";"VinylSd";"BrkFace";136;"TA";"TA";"CBlock";"TA";"TA";"No";"Rec";572;"Unf";0;572;1144;"GasA";"Gd";"Y";"SBrkr";1144;0;0;1144;1;0;1;0;3;1;"TA";6;"Typ";0;"NA";"Attchd";1961;"Unf";2;456;"TA";"TA";"Y";0;0;0;0;0;0;"NA";"GdWo";"NA";0;9;2008;"WD ";"Normal";139950
"445";445;528142130;20;"RL";85;10655;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"NridgHt";"Norm";"Norm";"1Fam";"1Story";8;5;2003;2004;"Gable";"CompShg";"VinylSd";"VinylSd";"BrkFace";296;"Gd";"TA";"PConc";"Gd";"TA";"No";"GLQ";1124;NA;479;1603;3206;"GasA";"Ex";"Y";"SBrkr";1629;0;0;1629;1;0;2;0;3;1;"Gd";7;"Typ";1;"Gd";"Attchd";2003;"RFn";3;880;"TA";"TA";"Y";0;0;0;0;0;0;"NA";"NA";"NA";0;10;2009;"WD ";"Normal";284000
"738";738;903228070;50;"RM";60;6000;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"BrkSide";"Norm";"Norm";"1Fam";"1.5Fin";5;5;1924;1950;"Gable";"CompShg";"Stucco";"Stucco";"BrkFace";444;"TA";"TA";"BrkTil";"TA";"TA";"No";"Rec";220;"Unf";0;248;468;"GasA";"Gd";"Y";"SBrkr";822;320;0;1142;0;0;1;0;3;1;"TA";6;"Typ";0;"NA";"Attchd";1924;"Fin";1;320;"TA";"TA";"Y";0;0;98;0;0;0;"NA";"NA";"NA";0;6;2009;"WD ";"Normal";93000
"263";263;907203070;20;"RL";68;7480;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"CollgCr";"Norm";"Norm";"1Fam";"1Story";5;6;1972;1972;"Gable";"CompShg";"Wd Sdng";"Wd Sdng";"None";0;"TA";"TA";"CBlock";"TA";"TA";"Av";"ALQ";480;"Unf";0;396;876;"GasA";"TA";"Y";"SBrkr";876;0;0;876;1;0;1;0;3;1;"TA";5;"Typ";0;"NA";"Detchd";1977;"Unf";2;484;"TA";"TA";"Y";0;0;0;0;0;0;"NA";"MnPrv";"NA";0;6;2010;"WD ";"Normal";127000
"1310";1310;902300260;75;"RM";53;5350;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"OldTown";"Artery";"Norm";"1Fam";"2Story";7;8;1920;1965;"Gable";"CompShg";"Wd Sdng";"Wd Shng";"None";0;"TA";"TA";"BrkTil";"TA";"TA";"No";"BLQ";116;"Unf";0;508;624;"GasA";"Ex";"Y";"SBrkr";730;720;0;1450;0;0;1;0;3;1;"TA";7;"Typ";0;"NA";"Detchd";1935;"Unf";1;288;"TA";"TA";"Y";0;192;0;0;0;0;"NA";"MnPrv";"NA";0;3;2008;"WD ";"Normal";132000
"2255";2255;914478100;85;"RL";82;8410;"Pave";"NA";"IR1";"Lvl";"AllPub";"Corner";"Gtl";"Mitchel";"Norm";"Norm";"1Fam";"SFoyer";6;6;1974;1974;"Gable";"CompShg";"Plywood";"Plywood";"None";0;"TA";"TA";"CBlock";"Gd";"TA";"Av";"ALQ";924;"Unf";0;46;970;"GasA";"TA";"Y";"SBrkr";1026;0;0;1026;1;0;1;0;2;1;"TA";5;"Typ";1;"Po";"Attchd";1974;"Unf";2;528;"TA";"TA";"Y";193;0;0;0;0;0;"NA";"NA";"NA";0;4;2007;"WD ";"Normal";143000
"561";561;532377130;20;"RL";80;10000;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"Sawyer";"Feedr";"Norm";"1Fam";"1Story";5;6;1961;1983;"Hip";"CompShg";"HdBoard";"HdBoard";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"BLQ";594;"Unf";0;270;864;"GasA";"Ex";"Y";"SBrkr";1144;0;0;1144;1;0;1;0;3;1;"TA";6;"Typ";1;"TA";"Attchd";1961;"RFn";1;264;"TA";"TA";"Y";165;0;0;0;0;0;"NA";"GdWo";"Shed";400;3;2009;"WD ";"Normal";131400
